County,Pediatricians,Psychiatrists,Family Medicine Physicians,Licensed Social Workers,Psychologists
Albany,14.6,13,16.3,86.6,41.4
Allegany,3,0,10.1,14.2,7.1
Bronx,7.2,3.2,4.4,41.8,9.8
Broome,6.2,7.5,16.2,68.5,14.9
Cattaraugus,2.2,0,12.3,20.2,3.9
Cayuga,2.5,1.2,3.1,49.7,3.7
Chautauqua,2.9,3.3,9.1,37.3,3.6
Chemung,4.7,5.2,11,68,7.3
Chenango,0.9,0.9,17.1,53.2,3.8
Clinton,7.4,8,12.1,26.1,12.7
Columbia,5.2,5.2,15.7,41.7,19.1
Cortland,4.2,3.1,13.5,64.4,11.4
Delaware,1.2,2.4,17.7,41.3,8.3
Dutchess,8.2,8,8.5,79.6,22.6
Erie,10.6,5.3,12.1,49.9,14.7
Essex,0,3,13.4,23.9,11.9
Franklin,4.9,2.9,12.8,35.3,19.6
Fulton,5.3,0.9,6.2,33.8,3.6
Genesee,4.1,2.4,9.8,41.6,9
Greene,2.4,2.4,7.3,49.6,10.9
Hamilton,0,0,14,0,0
Herkimer,2.2,0,8.2,20.1,0
Jefferson,6.1,1.7,9.1,27.4,11.5
Kings,7.8,4.8,4.3,49.4,15
Lewis,3.1,0,20.2,24.9,3.1
Livingston,5.8,0,10.7,31.4,14
Madison,4.8,2.7,16.3,40.8,8.8
Monroe,12.4,6.4,11.9,44.2,19.1
Montgomery,6.2,6.2,13.3,31.1,9.8
Nassau,22.1,12.6,10.5,67.8,36
New York,26.6,55.7,10.5,239.2,155.8
Niagara,3.9,0.9,11,32,4.8
Oneida,4.4,5.4,20.4,46.4,6.9
Onondaga,10.5,7.1,18.2,43.2,17.3
Ontario,4.8,3.5,11.8,30.2,12.7
Orange,7.7,4.7,7.2,44.4,10
Orleans,1.2,0,3.5,25.9,3.5
Oswego,2.7,0.4,10.7,21,6.1
Otsego,12.7,3.9,11.7,73.3,8.8
Putnam,7.5,5.2,3.8,65.7,23.5
Queens,9.7,5.3,5.4,44.9,10.8
Rensselaer,5.9,2.2,11.2,32.3,9.9
Richmond,13,7.8,4.6,49.8,14.2
Rockland,14,9.6,4.7,47.3,22.2
Saint Lawrence,4.3,5.6,11.7,30.8,9.1
Saratoga,6.1,6.7,19.1,30.5,17.9
Schenectady,4.3,4.6,15.1,56.5,15.6
Schoharie,0,1.7,10.1,43.9,1.7
Schuyler,2.8,2.8,22,63.3,8.3
Seneca,0,2.8,10,44.1,0
Steuben,5,3.6,11.4,45,15.5
Suffolk,9.4,6.2,9.8,63.3,23.3
Sullivan,3.7,0.6,5.5,64.7,6.7
Tioga,0.9,2.7,13.7,43,3.7
Tompkins,7.4,11.1,29.1,122.4,37.7
Ulster,4.5,7.5,26.1,98.6,32.4
Warren,17.8,8.9,23.5,75.4,26
Washington,1.6,0,7.3,30.8,4.9
Wayne,4.4,1.5,5.9,21.7,5.9
Westchester,21.4,19,9.2,75.1,40.1
Wyoming,1.3,0,12.6,30.3,1.3
Yates,1.7,3.4,8.5,29,5.1
